atlas_concept_id	atlas_concept_name	atlas_concept_class	atlas_task_count	relation_count	match_type	hed_process_id	hed_process_name	notes
trm_52405e33adafa	paranoia		1		none			No corresponding process in the 172-process catalog
trm_4d7fa1a3e2a10	paraphasia	ctp_C6			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ab42	parsing	ctp_C6			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ab4d	passive attention	ctp_C2		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ab59	past tense	ctp_C6		1	none			No corresponding process in the 172-process catalog
trm_wTaB3Sl1dWvOW	past time		1	1	none			No corresponding process in the 172-process catalog
trm_557b49206928b	pattern maintenance	ctp_C5	1	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ab65	pattern recognition	ctp_C1	4	2	exact	hed_pattern_recognition	Pattern recognition	Primary match from hed_process_to_atlas.tsv
trm_MaWfLaH0xKHTK	Pavlovian bias		1	4	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ab70	pavlovian conditioning	ctp_C5	1	3	exact	hed_pavlovian_conditioning	Pavlovian conditioning	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0ab7c	perception	ctp_C1		21	related	hed_social_perception	Social perception	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0ab88	perceptual binding	ctp_C1	1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ab93	perceptual categorization	ctp_C1			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ab9f	perceptual fluency	ctp_C1			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0abaa	perceptual identification	ctp_C1	2	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0abb6	perceptual learning	ctp_C5	1	4	none			No corresponding process in the 172-process catalog
trm_5519ba1746e95	perceptual priming			3	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0abc1	perceptual similarity	ctp_C1	1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0abcd	perceptual skill	ctp_C1			none			No corresponding process in the 172-process catalog
trm_525c58f9aabae	perfectionism		2		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ac30	performance monitoring	ctp_C4	2	6	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ac4a	phonation	ctp_C6			none			No corresponding process in the 172-process catalog
trm_4d7fa1ee2f870	phonemic paraphasia	ctp_C6			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b862	phonetics	ctp_C6			none			No corresponding process in the 172-process catalog
trm_558c74156b7ee	phonological assembly		1	1	none			No corresponding process in the 172-process catalog
trm_5240fddc2e43e	phonological awareness		2		exact	hed_phonological_awareness	Phonological awareness	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0ac61	phonological buffer	ctp_C6		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ac7a	phonological code				none			No corresponding process in the 172-process catalog
trm_558c73b3663a6	phonological comparison		1	3	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ac87	phonological encoding	ctp_C6	6	2	exact	hed_phonological_encoding	Phonological encoding	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0ba48	phonological loop	ctp_C5	1	2	none			No corresponding process in the 172-process catalog
trm_52b5f1ef4f9cc	phonological processing			5	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ac93	phonological retrieval	ctp_C6	1	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ac9e	phonological working memory	ctp_C4	8	3	close	hed_verbal_working_memory	Verbal working memory	Primary match from hed_process_to_atlas.tsv
trm_5029751d118c4	phototransduction			1	none			No corresponding process in the 172-process catalog
trm_t3L0j7X6p66JK	Physical Activity		1		none			No corresponding process in the 172-process catalog
trm_p77NrG4CTxmPS	pitch discrimination			1	none			No corresponding process in the 172-process catalog
trm_H19qgUFFeZaLg	pitch perception			2	exact	hed_pitch_perception	Pitch perception	Primary match from hed_process_to_atlas.tsv
trm_557b493133416	place maintenance	ctp_C5	1	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0acc1	planning	ctp_C4	4	2	exact	hed_planning	Planning	Primary match from hed_process_to_atlas.tsv
trm_557b493e4203a	positive feedback processing		3	2	none			No corresponding process in the 172-process catalog
trm_5521a3da10349	positive priming			3	none			No corresponding process in the 172-process catalog
trm_557b494ca540d	potential monetary loss		1	3	none			No corresponding process in the 172-process catalog
trm_557b495cdde57	potential monetary reward		1	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ad12	pragmatic inference	ctp_C3		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ad1d	pragmatic knowledge		1	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ad29	pragmatic reasoning	ctp_C3		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ad41	preattentive processing	ctp_C2	2		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ad4c	preconscious perception	ctp_C1		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ad64	prejudice		1		none			No corresponding process in the 172-process catalog
trm_dgZTWfjGK3RYq	present time		1	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ad94	primary memory	ctp_C5		1	none			No corresponding process in the 172-process catalog
trm_4e89aebaa311d	priming	ctp_C5		11	related	hed_affective_priming	Affective priming	Primary match from hed_process_to_atlas.tsv
trm_SbuNB0U1enr59	principle of cohesion				none			No corresponding process in the 172-process catalog
trm_557b49851e991	proactive control	ctp_C4	6	4	exact	hed_proactive_control	Proactive control	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0adab	proactive interference	ctp_C5	3		exact	hed_proactive_interference	Proactive interference	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0adb7	problem solving	ctp_C3	1	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0adc3	procedural knowledge	ctp_C5		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0adcf	procedural learning	ctp_C5		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0addc	procedural memory		4	1	exact	hed_procedural_memory	Procedural memory	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0ade8	procedural rule				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0adf4	processing capacity		6	1	none			No corresponding process in the 172-process catalog
trm_58575b0d3c548	processing speed		3	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ae00	processing stage				none			No corresponding process in the 172-process catalog
trm_5154b23a3156a	Production of non-facial communication				none			No corresponding process in the 172-process catalog
trm_5154aa9735134	productive facial communication				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ae17	pronunciation	ctp_C6			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ae2b	proper noun	ctp_C6			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ae3d	proprioception	ctp_C1	2	2	exact	hed_proprioception	Proprioception	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0ae58	prosodic stress	ctp_C6			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ae64	prosody	ctp_C6			none			No corresponding process in the 172-process catalog
trm_5a285375c6a43	prospection			1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ae70	prospective memory	ctp_C5		1	exact	hed_prospective_memory	Prospective memory	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0ae7b	prospective planning		1	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ae87	prototype	ctp_C5		1	none			No corresponding process in the 172-process catalog
trm_4ffca95528c88	psychological refractory period		2		none			No corresponding process in the 172-process catalog
trm_52405de6b7a63	psychosis		1		none			No corresponding process in the 172-process catalog
trm_5534111a8bc96	punishment processing		1	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0aeaa	quantitative skill		2	1	none			No corresponding process in the 172-process catalog
trm_0wLVVlkHaAov9	Reactive Control		1	1	exact	hed_reactive_control	Reactive control	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0aeb6	reading	ctp_C6	8	5	exact	hed_reading	Reading	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0aec1	reasoning	ctp_C3	5	11	related	hed_causal_reasoning	Causal reasoning	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0b95b	recall	ctp_C5	4	4	exact	hed_recall	Recall	Primary match from hed_process_to_atlas.tsv
trm_5154a9f45903f	reception of facial communication	ctp_C9			none			No corresponding process in the 172-process catalog
trm_5154b049c279f	Reception of non-facial communication				none			No corresponding process in the 172-process catalog
trm_seBaaqL9E7Q1v	reciprocity				exact	hed_reciprocity	Reciprocity	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0b967	recognition	ctp_C5	3	13	exact	hed_recognition	Recognition	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0b972	reconsolidation	ctp_C5		2	exact	hed_reconsolidation	Reconsolidation	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0aecd	regret	ctp_C8			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ba54	rehearsal	ctp_C5		2	exact	hed_rehearsal	Rehearsal	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0ba60	rehearsal loop	ctp_C5		6	none			No corresponding process in the 172-process catalog
trm_557b4993a0fdd	reinforcement learning	ctp_C5	7	4	exact	hed_reinforcement_learning	Reinforcement learning	Primary match from hed_process_to_atlas.tsv
trm_502403240a2a2	reinstatement		1		none			No corresponding process in the 172-process catalog
trm_555cfb890d721	relational comparison		1	3	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0aed8	relational learning	ctp_C5		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0aee4	remote memory	ctp_C5		1	none			No corresponding process in the 172-process catalog
trm_5521a45a397a6	repetition priming			1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0aeef	repressed memory	ctp_C5		1	none			No corresponding process in the 172-process catalog
trm_557b499fac085	resistance to distractor inference	ctp_C4	3	1	none			No corresponding process in the 172-process catalog
trm_4f3a72a028d90	resource			1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0af4c	resource limit	ctp_C4			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0af5a	resource sharing	ctp_C9			none			No corresponding process in the 172-process catalog
trm_OMciWXS7bNM11	response alternatives				none			No corresponding process in the 172-process catalog
trm_559f0a129c136	response bias		1	2	none			No corresponding process in the 172-process catalog
trm_557b49ad14adf	response conflict	ctp_C4	3	2	exact	hed_response_conflict	Response conflict	Primary match from hed_process_to_atlas.tsv
trm_557b4a7315f1b	response execution	ctp_C7	24	10	exact	hed_response_execution	Response execution	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0af66	response inhibition	ctp_C4	19	3	exact	hed_response_inhibition	Response inhibition	Primary match from hed_process_to_atlas.tsv
trm_5521a663cd89c	response priming			1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0af71	response selection	ctp_C7	28	3	exact	hed_response_selection	Response selection	Primary match from hed_process_to_atlas.tsv
trm_52068e5bd9aa1	restricted behavior		10		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0af7d	retention	ctp_C5	1	3	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0af94	retrieval	ctp_C5		4	exact	hed_retrieval	Retrieval	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0afa0	retrieval cue	ctp_C5	1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0afab	retroactive interference	ctp_C5	1	1	exact	hed_retroactive_interference	Retroactive interference	Primary match from hed_process_to_atlas.tsv
trm_557b4a81a4a17	reward anticipation		1	3	exact	hed_reward_anticipation	Reward anticipation	Primary match from hed_process_to_atlas.tsv
trm_5159cb12a0f92	reward learning		1	7	none			No corresponding process in the 172-process catalog
trm_4b6525253c63f	reward processing	ctp_C5	2	5	related	hed_reward_consumption	Reward consumption	Primary match from hed_process_to_atlas.tsv
trm_5159c94667677	reward valuation		1	2	close	hed_valuation	Valuation	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0afc3	rhythm	ctp_C1	2	1	none			No corresponding process in the 172-process catalog
trm_55b6b910b4b23	right finger response execution		2	1	none			No corresponding process in the 172-process catalog
trm_558c7b337080f	right hand response execution		1	1	none			No corresponding process in the 172-process catalog
trm_55b6b952c1b4c	right toe response execution		1	1	none			No corresponding process in the 172-process catalog
trm_523e0a4b443dc	rigidity		1	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0afcf	risk	ctp_C3	3	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b642	risk aversion		4		none			No corresponding process in the 172-process catalog
trm_55ce71c47f37b	risk aversion			1	none			No corresponding process in the 172-process catalog
trm_Ba49klQ9ApNSg	Risk Perception		1		none			No corresponding process in the 172-process catalog
trm_557b4a913f8cc	risk processing	ctp_C3	3	2	exact	hed_risk_processing	Risk processing	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0b64e	risk seeking	ctp_C3	10	1	none			No corresponding process in the 172-process catalog
trm_4l7BDO8GJ3LdM	Risk Taking		1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0afda	route knowledge			2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0afe6	routine				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0aff2	rule				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0affd	rule learning	ctp_C5		3	none			No corresponding process in the 172-process catalog
trm_aFgzEYVgvyimF	saccadic eye movement			1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b014	sadness	ctp_C8	8	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b020	salience			1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b02c	schema	ctp_C3		2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b037	search	ctp_C2		2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b043	selective attention	ctp_C2	6	4	exact	hed_selective_attention	Selective attention	Primary match from hed_process_to_atlas.tsv
trm_557b4aa070c10	selective control	ctp_C4	3	3	none			No corresponding process in the 172-process catalog
trm_4ee8facd77dfc	self control	ctp_C4	6	3	none			No corresponding process in the 172-process catalog
trm_jpDjcHLNr8Hko	Self evaluation				none			No corresponding process in the 172-process catalog
trm_5154b39a3193d	self knowledge				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b05e	self monitoring	ctp_C4	4	1	exact	hed_self_monitoring	Self-monitoring	Primary match from hed_process_to_atlas.tsv
trm_4f4672db34a46	self talk				none			No corresponding process in the 172-process catalog
trm_Z1PwwmQJy6oB7	Self-Efficacy		3		none			No corresponding process in the 172-process catalog
trm_vK5imljyKMUAL	self-reference effect			1	close	hed_self_referential_processing	Self-referential processing	Primary match from hed_process_to_atlas.tsv
trm_557b4ab076338	semantic categorization		2	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b06b	semantic category	ctp_C6	1		none			No corresponding process in the 172-process catalog
trm_4d2201d530697	semantic information				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b077	semantic knowledge	ctp_C6	11	2	exact	hed_semantic_knowledge	Semantic knowledge	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0b083	semantic memory	ctp_C6	6	3	exact	hed_semantic_memory	Semantic memory	Primary match from hed_process_to_atlas.tsv
trm_51838baad343e	semantic network	ctp_C6			none			No corresponding process in the 172-process catalog
trm_5521a51034353	semantic priming			1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b87a	semantic processing	ctp_C6	6	3	exact	hed_semantic_processing	Semantic processing	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0b08f	semantic working memory	ctp_C4	3	1	none			No corresponding process in the 172-process catalog
trm_4e5faabfe8ce3	sense of body ownership		1	1	close	hed_body_ownership	Body ownership	Primary match from hed_process_to_atlas.tsv
trm_4e5badf095692	sense of ownership		1	2	none			No corresponding process in the 172-process catalog
trm_525d8e198e0da	sensitivity to change		1		none			No corresponding process in the 172-process catalog
trm_525d8cd1c9cc3	sensory defensiveness		1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b09a	sensory memory	ctp_C5		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b892	sentence comprehension	ctp_C6	4	4	exact	hed_sentence_comprehension	Sentence comprehension	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0b89e	sentence processing	ctp_C6	1	5	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b8aa	sentence production	ctp_C6			none			No corresponding process in the 172-process catalog
trm_568427366401c	sentence recognition 			3	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b0a6	sequence learning	ctp_C5	1	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b0b1	serial learning	ctp_C5		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b0bd	serial processing		2		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b0c8	serial search	ctp_C2	2	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b607	set shifting	ctp_C4	8	3	exact	hed_set_shifting	Set shifting	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0b0df	shallow processing				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b0eb	shame	ctp_C8		1	none			No corresponding process in the 172-process catalog
trm_553967f006b70	shape recognition			1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b0f7	short-term memory	ctp_C5	1	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b10e	skepticism				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b11a	skill	ctp_C5		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b125	skill acquisition	ctp_C5		1	none			No corresponding process in the 172-process catalog
trm_5159c70d0e98e	sleep		3		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b13d	social cognition	ctp_C9	5	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b148	social context	ctp_C9	1		none			No corresponding process in the 172-process catalog
trm_5595be14a57c5	social inference	ctp_C3		2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b154	social intelligence	ctp_C9	9		none			No corresponding process in the 172-process catalog
trm_52090251db8c8	social motivation		9		none			No corresponding process in the 172-process catalog
trm_58c80b824c51b	social norm processing		1	1	none			No corresponding process in the 172-process catalog
trm_523e053844495	social phobia		2	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b160	somatosensation	ctp_C1	6	8	close	hed_somatosensory_perception	Somatosensory perception	Primary match from hed_process_to_atlas.tsv
trm_586fd9dcd78e5	sound perception			1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b18f	source memory	ctp_C5	1	1	exact	hed_source_memory	Source memory	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0b19b	source monitoring	ctp_C5			none			No corresponding process in the 172-process catalog
trm_QNIy3cChBO4cA	south cardinal-direction judgment			1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b1a6	spatial ability	ctp_C1	13		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b1b2	spatial attention	ctp_C2	2	3	exact	hed_spatial_attention	Spatial attention	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0b1bd	spatial cognition		1		none			No corresponding process in the 172-process catalog
trm_6NJi93UzFFKBj	spatial distance			2	none			No corresponding process in the 172-process catalog
trm_5519bb7767d98	spatial localization			2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b1d5	spatial memory	ctp_C5	5	2	exact	hed_spatial_memory	Spatial memory	Primary match from hed_process_to_atlas.tsv
trm_557b4abe521af	spatial selective attention	ctp_C2	1	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b1e0	spatial working memory	ctp_C2	5	2	exact	hed_spatial_working_memory	Spatial working memory	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0b1f7	speech perception	ctp_C6	1	5	exact	hed_speech_perception	Speech perception	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0b238	speech processing	ctp_C6	1	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b247	speech production	ctp_C6	6	4	exact	hed_speech_production	Speech production	Primary match from hed_process_to_atlas.tsv
trm_5024002a85b1f	spontaneous recovery	ctp_C5	1	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b26d	spreading activation		1	2	none			No corresponding process in the 172-process catalog
trm_94lyXFzQH9ruD	state consciousness				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b279	stereopsis	ctp_C1		2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b285	stereotypes	ctp_C9			none			No corresponding process in the 172-process catalog
trm_5519b80525e89	stimulus detection	ctp_C1		3	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b29c	strategy		1		related	hed_strategy_use	Strategy use	Primary match from hed_process_to_atlas.tsv
trm_50eb5469ba37a	strength		1	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b2a8	stress	ctp_C8	6		none			No corresponding process in the 172-process catalog
trm_557b4acdee820	string maintenance	ctp_C5	1	1	none			No corresponding process in the 172-process catalog
trm_4d21e9a7dd8ca	subconscious			2	none			No corresponding process in the 172-process catalog
trm_559f09a5cdca9	subjective food value	ctp_C3	3	2	none			No corresponding process in the 172-process catalog
trm_558c736199abd	subjective value judgment	ctp_C3	1	6	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b2b4	sublexical route	ctp_C6	1	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b2bf	subliminal perception	ctp_C1			none			No corresponding process in the 172-process catalog
trm_52583e8a46ded	suicidal ideation		1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b2fa	supervisory attentional system	ctp_C4			none			No corresponding process in the 172-process catalog
trm_55e1b27f5655e	Surface dyslexia				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b306	surprise	ctp_C8		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b311	sustained attention	ctp_C2	7	1	exact	hed_sustained_attention	Sustained attention	Primary match from hed_process_to_atlas.tsv
trm_4e31e6dca01ca	synchrony perception	ctp_C1	2	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b340	syntactic parsing	ctp_C6	4		exact	hed_syntactic_parsing	Syntactic parsing	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0b34b	syntactic processing	ctp_C6	1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b357	syntax	ctp_C6	1	1	none			No corresponding process in the 172-process catalog
trm_4e416f1373936	tactile working memory	ctp_C5		1	none			No corresponding process in the 172-process catalog
trm_557b4add1837e	task difficulty	ctp_C10	1	1	none			No corresponding process in the 172-process catalog
trm_4c3e0646a2408	task set	ctp_C4	1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b613	task switching	ctp_C4	4	3	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b363	taste aversion	ctp_C8	1		none			No corresponding process in the 172-process catalog
trm_MEjaEPF9qQveE	temporal categorization			1	none			No corresponding process in the 172-process catalog
trm_NLuhZFq5jY7Cq	temporal cognition			5	none			No corresponding process in the 172-process catalog
trm_t4oxJAwl1xRzQ	temporal depth				none			No corresponding process in the 172-process catalog
trm_AU0Hu0wyHtKn4	temporal discrimination			1	none			No corresponding process in the 172-process catalog
trm_CN3u8GJWlTEUO	temporal distance			3	none			No corresponding process in the 172-process catalog
trm_4a7b128b8b2d0	test term				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b37a	text comprehension	ctp_C6	1	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b386	text processing	ctp_C6		2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b392	theory of mind	ctp_C9	6	4	close	hed_perspective_taking	Perspective taking	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0b39d	thermosensation	ctp_C1	1	1	none			No corresponding process in the 172-process catalog
trm_X4cTmFq0qpgRI	Thirst				none			No corresponding process in the 172-process catalog
trm_4fa295124a375	thought				none			No corresponding process in the 172-process catalog
trm_xMOwdL0Y58qYJ	time orientation		3	4	none			No corresponding process in the 172-process catalog
trm_KcaEi0Mc9grrz	time perception			1	none			No corresponding process in the 172-process catalog
trm_vqA8b1BrA6U4V	timing			1	related	hed_motor_timing	Motor timing	Primary match from hed_process_to_atlas.tsv
trm_55b6b8b8e7870	tone recognition			2	none			No corresponding process in the 172-process catalog
trm_55b6b98b88f45	tongue response execution		1	1	none			No corresponding process in the 172-process catalog
trm_557b4aeaeb744	tool maintenance	ctp_C5	1	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b3cb	top down processing	ctp_C4			none			No corresponding process in the 172-process catalog
trm_50aff037c389f	trait anxiety				none			No corresponding process in the 172-process catalog
trm_50297454e516b	transduction			1	none			No corresponding process in the 172-process catalog
trm_KhnMZaVYVHe43	Transfer Data				none			No corresponding process in the 172-process catalog
trm_PbbDObBMoXj9X	transition			2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b3ef	traumatic memory	ctp_C5		1	none			No corresponding process in the 172-process catalog
trm_N7MLgAsJBIbiQ	trust				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b3fa	uncertainty	ctp_C3		2	none			No corresponding process in the 172-process catalog
trm_4feb44e5ae25b	unconscious perception		1	4	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b406	unconscious process	ctp_C2		2	none			No corresponding process in the 172-process catalog
trm_5159c0a633cda	understanding mental states				none			No corresponding process in the 172-process catalog
trm_4e31d365bc7e2	unisensory	ctp_C1			none			No corresponding process in the 172-process catalog
trm_4c3e05903e4bb	updating	ctp_C4	9	3	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b412	utility	ctp_C3			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b429	valence	ctp_C8	1		none			No corresponding process in the 172-process catalog
trm_500d8aef38f2c	vection			1	none			No corresponding process in the 172-process catalog
trm_2gvDOFhX4ILY3	Venturesomeness		1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b44c	verbal fluency	ctp_C6	9		exact	hed_verbal_fluency	Verbal fluency	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0b457	verbal memory	ctp_C5	8	1	exact	hed_verbal_memory	Verbal memory	Primary match from hed_process_to_atlas.tsv
trm_50f382d7abdff	vestibular control		2		none			No corresponding process in the 172-process catalog
trm_500d8bcf5f29a	visual acuity		2	1	none			No corresponding process in the 172-process catalog
trm_500d8c8fcc520	visual angle			1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b46f	visual attention	ctp_C2	5	2	none			No corresponding process in the 172-process catalog
trm_4ff36d79c26c6	visual awareness		3	2	none			No corresponding process in the 172-process catalog
trm_557b4af7cc1cb	visual body recognition		2	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b47b	visual buffer	ctp_C1			none			No corresponding process in the 172-process catalog
trm_557b4b05ae470	visual color discrimination	ctp_C1	2	2	none			No corresponding process in the 172-process catalog
trm_557b4b154e0d9	visual face recognition		1	3	none			No corresponding process in the 172-process catalog
trm_557b4b27dfd5e	visual form discrimination	ctp_C1	1	3	none			No corresponding process in the 172-process catalog
trm_557b4b3a6a34d	visual form recognition	ctp_C1	11	7	exact	hed_visual_form_recognition	Visual form recognition	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0b487	visual imagery		2	1	none			No corresponding process in the 172-process catalog
trm_558c7439832d9	visual letter recognition		1	5	none			No corresponding process in the 172-process catalog
trm_5519b92bde7dc	visual localization	ctp_C1		2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b492	visual masking	ctp_C1	2	2	close	hed_masking	Masking	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0b49e	visual memory	ctp_C5	3	3	none			No corresponding process in the 172-process catalog
trm_557b4b47d994a	visual number recognition		4	2	none			No corresponding process in the 172-process catalog
trm_557b4b56de455	visual object detection		1	3	none			No corresponding process in the 172-process catalog
